VariationID,Anchor,TargetToken,LogProbFullPrompt,Shapley_scene,Shapley_comparative,Shapley_absolute,Shapley_anchor,TargetInt
0,10,62%,-47.712836280465126,-1.138050066307187,3.0592829193919897,-0.3948952164500952,-3.528347121551633,62
0,10,63%,-47.78240713477135,-1.1977017931640148,2.867865588515997,-1.242226980626583,-3.549249041825533,63
0,10,64%,-47.66477933526039,-1.493378834798932,3.1092029083520174,-0.35220364667475224,-3.9274074491113424,64
0,10,65%,-44.32323354482651,-1.1836294569075108,3.6466162614524364,-0.7825625836849213,-3.352008603513241,65
0,10,66%,-44.585321724414825,-0.9599328823387623,3.957543570548296,-1.4401059038937092,-3.230438243597746,66
0,10,67%,-44.20325360447168,-1.0557548832148314,3.988681009039283,-0.980150606483221,-3.2734667267650366,67
0,10,68%,-46.17802011966705,-1.3241722797974944,2.9169149538502097,-1.6060672467574477,-3.23363905120641,68
0,10,69%,-46.18040716648102,-1.518986058421433,3.2230455251410604,-1.1760774562135339,-2.8815997829660773,69
0,10,70%,-41.54106767475605,-2.0588062275201082,3.857696210965514,-0.08409360982477665,-4.1081373821944,70
0,10,71%,-47.559411346912384,-1.822011984884739,2.9293583184480667,-0.47938188165426254,-3.3153066188097,71
0,10,72%,-47.19462010264397,-2.0569224543869495,2.701954286545515,-0.02726365253329277,-3.8979734890162945,72
0,10,73%,-46.91355741024017,-1.7611805275082588,2.8440345749258995,-0.38893091306090355,-3.7075482346117496,73
0,10,74%,-46.81783774495125,-1.8140347376465797,3.2840739004313946,-0.22174734622240067,-3.6984988078475,74
0,10,75%,-40.81032224744558,-1.3390379454940557,4.027942977845669,-0.062357449904084206,-3.5083919391036034,75
0,10,76%,-45.73863750696182,-1.5656316541135311,3.2095449827611446,-0.8936502560973167,-3.70514215528965,76
0,10,77%,-44.30976115167141,-1.9780583335086703,3.472482348792255,-0.8203259659931064,-3.3984575802460313,77
0,10,78%,-44.574065148830414,-1.9522541295737028,2.934386318549514,-0.8941388446837664,-3.6362205427139997,78
0,10,79%,-45.75406628847122,-2.1674613021314144,3.1881845332682133,-0.6249976269900799,-3.2349990345537663,79
0,10,80%,-41.121352553367615,-1.7414548695087433,2.9985231757164,0.053397540003061295,-3.445856999605894,80
0,10,81%,-47.26950299739838,-1.9728450160473585,2.6556618940085173,0.04149451293051243,-2.688162738457322,81
0,10,82%,-47.02228292822838,-1.7605918310582638,2.8185965083539486,-0.18147164583206177,-3.405860185623169,82
0,10,83%,-46.26990893483162,-1.6686071790754795,2.862467959523201,-0.09772024676203728,-3.154419593513012,83
0,10,84%,-46.92493358254433,-2.0161864161491394,2.7461641617119312,-0.5527718849480152,-3.173671904951334,84
0,10,85%,-42.87920439243317,-1.5622246991842985,3.3628963958472013,-0.3121145535260439,-3.0277671460062265,85
0,10,86%,-45.79229824244976,-1.6317887604236603,2.8988160975277424,-0.9783124923706055,-2.9363871589303017,86
0,10,87%,-44.04612888395786,-1.6457082582637668,2.9212486827746034,-0.4877925468608737,-2.9244611049070954,87
0,10,88%,-44.15576991438866,-1.7977723684161901,2.6563262175768614,-1.156534830108285,-2.557721955701709,88
0,10,89%,-44.5802776068449,-1.673045288771391,2.5886030569672585,-0.6016218475997448,-2.4708891957998276,89
